Dados de consumo;;;;
;;;;
AUTG;Mˆs 02 Ano 2022;;;
;;;;
Informa‡äes do Respons vel;;;;
Nome respons vel;RazÆo social;Cnpj;;
Marcos;Sptech;14.795.960/0001-08;;
;;;;
Informa‡äes do pr‚dio;;;;
Pr‚dio;Nome do pr‚dio;Logradouro;N£mero;Cep
1;Digital Building;Haddock Lobo ;595;02984-090
;;;;
Consumo Mensal;;;;
Sala;Andar;Consumo kwm;Bandeira;Pre‡o
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
A;1;150.696;Amarela;R$ 43,31
;;;;
Resumo;R$;;;
Total gasto Kwm:;1205568,00;;;
Total gasto R$:;R$ 346,48;;;
